;author;year;avgsentlen
ENG18531;Yonge;1853;22.81469622988874
ENG18980;BaringGould;1898;18.383368800130956
ENG19181;West;1918;21.87280701754386
ENG18872;Lyall;1887;23.25824175824176
ENG19091;Ward;1909;17.89201150697057
ENG18500;Ainsworth;1850;17.59699542782495
ENG19190;Benson;1919;19.49589552238806
ENG18652;Carroll;1865;20.71069182389937
ENG18860;Hardy;1886;21.276653171390013
ENG19070;Machen;1907;31.864306784660766
ENG19150;Buchan;1915;18.464572960551514
ENG18660;Eliot;1866;26.619035816086257
ENG18742;Trollope;1874;20.10794297352342
ENG18470;Aguilar;1847;37.067535327583045
ENG19180;Lewis;1918;15.100357596031838
ENG18400;Trollope;1840;29.17282057331603
ENG18831;Ouida;1883;26.83270835853393
ENG18880;Ward;1888;21.536028119507908
ENG18941;Caird;1894;18.502891306478485
ENG18900;Doyle;1890;18.02206135815236
ENG18510;Kingsley;1851;23.716886754701882
ENG18702;Jenkins;1870;21.085343228200372
ENG18721;Eliot;1872;25.264922322158625
ENG19071;Silberrad;1907;26.152898132100905
ENG18670;Ouida;1867;27.978713339640493
ENG18632;Reade;1863;20.838638716356108
ENG18920;Grossmith;1892;20.12490211433046
ENG18840;Lee;1884;25.41724424729692
ENG19010;Mason;1901;17.029304609535878
ENG18720;Lynn;1872;30.08010680907877
ENG19120;Wells;1912;19.496234857579395
ENG18940;Dixon;1894;21.614960147148988
ENG18953;Macdonald;1895;18.440608638743456
ENG18530;Dickens;1853;21.350419068843564
ENG18951;Ward;1895;18.050785973397822
ENG18820;Anstey;1882;22.023396226415095
ENG19005;Steel;1900;20.304378137200224
ENG19060;Nesbit;1906;16.345137717819
ENG18760;Collins;1876;17.99353631569995
ENG18450;Disraeli;1845;23.167798832081992
ENG18952;Wells;1895;19.783376623376622
ENG19100;Forster;1910;15.283199831365936
ENG18460;Reynolds;1846;23.316881455077233
ENG19020;Nesbit;1902;17.233972859148338
ENG18481;Dickens;1848;20.930508800615563
ENG18552;Kavanagh;1855;21.563489271895886
ENG18830;Broughton;1883;19.06928380782918
ENG18621;Braddon;1862;24.412756202804747
ENG18870;Barry;1887;21.73211286530064
ENG18570;Bronte;1857;30.338575922219047
ENG19111;Hornung;1911;21.586069651741294
ENG18651;Yonge;1865;25.612095082731297
ENG18930;Benson;1893;16.81253067233764
ENG19090;Wells;1909;18.459127297327772
ENG18972;Morris;1897;38.91660939289805
ENG18640;Blackmore;1864;22.635900883595852
ENG19004;Fowler;1900;25.674418604651162
ENG18661;Oliphant;1866;31.726975405546835
ENG18650;Trollope;1865;19.820180294164164
ENG19201;Arlen;1920;42.669256381798
ENG18482;Gaskell;1848;22.555139749736874
ENG19080;Chesterton;1908;18.716227235661865
ENG18410;Sinclair;1841;31.612012524907488
ENG19200;Lawrence;1920;14.64270340077486
ENG18973;Cholmondeley;1897;20.686234817813766
ENG19001;Glyn;1900;25.752757702548497
ENG18630;Craik;1863;24.646357129748576
ENG18471;Bronte;1847;22.133685003767898
ENG18610;Eliot;1861;32.660384470410854
ENG19011;Jerome;1901;21.61802575107296
ENG19170;Conrad;1917;16.026271471876054
ENG18961;Griffiths;1896;14.964784053156146
ENG18954;Sharp;1895;24.533701657458565
ENG18490;Skene;1849;38.22696245733788
ENG18741;Bulwer;1874;24.381792809062553
ENG19192;Woolf;1919;21.95532608695652
ENG18890;Nesbit;1889;21.42264782447006
ENG18440;Disraeli;1844;23.46317902396186
ENG18911;Gissing;1891;16.737866216315442
ENG18931;Harraden;1893;16.13293581199579
ENG18740;Ouida;1874;24.708112206216832
ENG18480;Thackeray;1848;27.753183153770813
ENG19191;Hamilton;1919;34.7312925170068
ENG18641;Stretton;1864;28.457238680827277
ENG18560;Yonge;1856;22.030149556098433
ENG18970;Phillpots;1897;22.13954171562867
ENG18871;Broughton;1887;23.23242660921088
ENG18800;Disraeli;1880;23.010585585585584
ENG18700;Oliphant;1870;29.11130617977528
ENG18770;Mallock;1877;27.59877085162423
ENG19121;Belloc;1912;18.917480035492456
ENG18901;Broughton;1890;24.62599287866338
ENG18411;Tupper;1841;36.8768054375531
ENG18960;Malet;1896;19.876212955677943
ENG18551;Trollope;1855;32.17536612842659
ENG18600;Clive;1860;22.58758888170653
ENG18950;Cross;1895;20.32227829848594
ENG18850;Rutherford;1885;27.775936157151627
ENG18540;Dickens;1854;21.982302348660273
ENG18910;Yeats;1891;18.001250781738587
